title,company_name,location,remote
SAP SD/MM Inhouse Berater (m/w/d),SAPPLIER GmbH,Landshut,False
UX/UI Designer (m/w/d),Rügamer & Steiner Consulting GmbH,Düsseldorf,True
(Remote) Founding Full-Stack Engineer,alago,Munich,True
CRM Marketing Manager (m/w/d),Rügamer & Steiner Consulting GmbH,Düsseldorf,False
E-Mail Marketing Manager (m/w/d),Rügamer & Steiner Consulting GmbH,Düsseldorf,False
Werkstudent Vertrieb / Finanzberatung (m/w/d) – Praxis statt Theorie,Shereen Patzelt,Chemnitz,False
"Prüfungsassistent (m/w/d) - Für alle, die mehr wollen als nur kontrollieren",Schwertfels Consulting GmbH,Augsburg,False
Product Developer / Software Developer,acemate.ai,Berlin,False
Software Engineer (Intern / Working Student),acemate.ai,Berlin,False
Senior Backend Engineer,acemate.ai,Berlin,False
Mobile App Engineer (React Native),acemate.ai,Berlin,False
AI Engineer (m/w/d),accantec group,Berlin,False
Software-Ingenieur PCS7 Elektrotechnik (m/w/d),KURT Personal GmbH,Pinneberg,False
Social Media Marketing (Personal Brand - Case Study),retentionclub GmbH,Geisa,True
Junior E-Commerce Manager,Anio,Bremen,False
Senior Network Engineer (m/w/d),DWWA Personalberatung GmbH,Frankfurt am Main,False
Freiberufliche Codierer / Übersetzer (m/w/d) Philippinisch (Tagalog) -> Englisch,ASKi & Data Intelligence GmbH,Hamburg,False
Senior Kotlin Backend Engineer (m/f/d),Flix,"München, Bayern, Germany",False
Senior Kotlin Backend Engineer (m/f/d),Flix,"München, Bayern, Germany",False
Senior Data Scientist,SumUp,"Berlin, Berlin, Germany",False
Senior PHP Software Engineer,Atolls,"Berlin, Berlin, Germany",False
"Senior Applied Scientist, Operations Research",Wolt - English,"Berlin, Berlin, Germany",False
Machine Learning Engineer,Wolt - English,"Berlin, Berlin, Germany",False
Freie Mitarbeiter (m/w/d) für Befragungen zu aktuellen Themen in Ihrem Umfeld,Foerster & Thelen Marktforschung,Schwerin,False
Freie Mitarbeiter (m/w/d) für Befragungen in Ihrem Umfeld zu aktuellen Themen,Foerster & Thelen Marktforschung,Rostock,False
SPS - Programmierer / Automatisierungstechniker (gn),Remmert GmbH,Osnabrück,False
SPS - Programmierer / Automatisierungstechniker (gn),Remmert GmbH,Löhne,False
Werkstudent Webdesign (m/w/d) ab 01.06.2026 in Teilzeit (15-25 Std.),beechwood.agency GmbH,Buchholz in der Nordheide,False
SPS - Programmierer / Automatisierungstechniker (gn),Remmert GmbH,Bad Oeynhausen,False
SPS - Programmierer / Automatisierungstechniker (gn),Remmert GmbH,Herford,False
SPS - Programmierer / Automatisierungstechniker (gn),Remmert GmbH,Bünde,False
SPS - Programmierer / Automatisierungstechniker (gn),Remmert GmbH,Bielefeld,False
Grafikdesigner (m/w/d),Gusti Leder GmbH,Rostsock,False
Senior Software Engineer - Backend (m|w|d),idealo internet GmbH,Berlin,False
Teamleiter (m/w/d),Avedo - Eine Marke der Ströer X GmbH,St. Ingbert,False
Referent COREP-Meldewesen,coni+partner AG,Frankfurt am Main,False
Content & Social Media Manager (m/w/d)  für Johnny Urban & unsere Lifestyle-Brands,Ecom Brands,Hamburg,False
Growth Marketing Manager (m/f/d),Beglaubigt.de,Munich,True
Teamlead CRM (Marketing) (m/w/d),PERRCON job network,Bremen,False
Werkstudent Digital Marketer (m/w/d),BrainersHub GmbH,Hamburg,False
"Business Development Director (m/w/d) - excel as entrepreneur through strategy, sales, and AI",Vicoland,Frankfurt am Main,False
Marketing Manager - B2B Kampagnen (m/w/d) | 100 % Remote,JMVision GmbH,Balingen,True
People & Culture Manager (m/w/d),much. GmbH,Munich,False
Freie Mitarbeiter/In Social Media Und Grafik,IMMOCOM GmbH,Leipzig,False
Senior Consultant / Manager (m/w/d) - Executive Search,Zenon GmbH,Hamburg,False
Werkstudent:in Kommunikation (m/f/d),Digital Loop GmbH,Munich,False
Embedded Softwaretester (m/w/d) im Bereich der Luftfahrt,cigus GmbH,Dresden,False
